ID;Name;Total Paid;Pending;Date
0;Cliente Sauna;36878.0;0;2014-02-01
1;Cliente 1;360.0;0;2014-02-01
0;Cliente Sauna;52242.0;0;2014-03-01
1;Cliente 1;610.0;0;2014-03-01
2;Cliente 2;640.0;0;2014-03-01
16;Cliente 16;340.0;62.0;2014-03-01
17;Cliente 17;4.0;488.67;2014-03-01
20;Cliente 20;233.0;376.0;2014-03-01
26;Cliente 26;27.0;0;2014-03-01
36;Cliente 36;150.0;0;2014-03-01
43;Cliente 43;19.0;54.68000000000001;2014-03-01
44;Cliente 44;15.0;50.68000000000001;2014-03-01
0;Cliente Sauna;11766.0;0;2014-07-01
0;Cliente Sauna;57586.0;0;2014-08-01
0;Cliente Sauna;68992.0;0;2014-09-01
6;Cliente 6;2075.5;0;2014-09-01
17;Cliente 17;4.0;1351.3400000000001;2014-09-01
22;Cliente 22;928.0;448.0;2014-09-01
39;Cliente 39;2325.5;20.0;2014-09-01
0;Cliente Sauna;20320.0;0;2014-10-01
0;Cliente Sauna;39715.0;0;2014-11-01
2;Cliente 2;1944.0;0;2014-11-01
7;Cliente 7;97.0;660.0;2014-11-01
13;Cliente 13;415.0;1727.0;2014-11-01
0;Cliente Sauna;55529.0;0;2014-12-01
66;Cliente 66;225.0;0;2014-12-01
67;Cliente 67;225.0;0;2014-12-01
0;Cliente Sauna;14689.0;0;2015-02-02
17;Cliente 17;4.0;328.0;2015-02-02
23;Cliente 23;0;234.01;2015-02-02
41;Cliente 41;17.0;393.34;2015-02-02
43;Cliente 43;19.0;3.34;2015-02-02
44;Cliente 44;15.0;3.34;2015-02-02
0;Cliente Sauna;11203.0;0;2015-03-02
1;Cliente 1;750.0;0;2015-03-02
17;Cliente 17;4.0;588.6700000000001;2015-03-02
0;Cliente Sauna;51940.0;0;2014-04-02
1;Cliente 1;860.0;0;2014-04-02
0;Cliente Sauna;1567.0;0;2014-05-02
36;Cliente 36;326.0;0;2014-05-02
61;Cliente 61;520.0;0;2014-05-02
0;Cliente Sauna;27838.0;0;2014-06-02
1;Cliente 1;1220.0;0;2014-06-02
21;Cliente 21;653.0;20.0;2014-06-02
22;Cliente 22;724.0;522.0;2014-06-02
0;Cliente Sauna;73713.0;0;2014-07-02
1;Cliente 1;1330.0;0;2014-07-02
9;Cliente 9;542.0;0;2014-07-02
14;Cliente 14;0;1035.0;2014-07-02
60;Cliente 60;119.0;320.0;2014-07-02
61;Cliente 61;640.0;0;2014-07-02
0;Cliente Sauna;77323.0;0.0;2014-08-02
13;Cliente 13;415.0;1027.0;2014-08-02
20;Cliente 20;233.0;1458.0;2014-08-02
55;Cliente 55;288.0;0;2014-08-02
0;Cliente Sauna;45469.0;0;2014-09-02
64;Cliente 64;596.0;0;2014-09-02
0;Cliente Sauna;22729.0;0;2014-10-02
0;Cliente Sauna;38544.0;0;2014-12-02
64;Cliente 64;746.0;150.0;2014-12-02
0;Cliente Sauna;64788.0;0;2014-02-03
15;Cliente 15;130.0;0;2014-02-03
21;Cliente 21;1366.0;7.0;2014-02-03
0;Cliente Sauna;61499.0;0;2015-02-03
22;Cliente 22;430.0;4.0;2015-02-03
0;Cliente Sauna;20934.0;0;2014-03-03
19;Cliente 19;564.5;0;2014-03-03
22;Cliente 22;560.0;138.0;2014-03-03
36;Cliente 36;155.0;0;2014-03-03
0;Cliente Sauna;72861.0;0;2015-03-03
0;Cliente Sauna;55446.0;0;2014-04-03
6;Cliente 6;1573.0;0;2014-04-03
20;Cliente 20;233.0;777.0;2014-04-03
23;Cliente 23;0;796.0099999999999;2014-04-03
24;Cliente 24;429.0;4.0;2014-04-03
36;Cliente 36;180.0;0;2014-04-03
57;SCliente 57;65.0;0;2014-04-03
58;Cliente 58;65.0;0;2014-04-03
61;Cliente 61;400.0;0;2014-04-03
0;Cliente Sauna;57896.0;0;2014-05-03
2;Cliente 2;1162.0;0;2014-05-03
17;Cliente 17;4.0;970.01;2014-05-03
22;Cliente 22;724.0;362.0;2014-05-03
39;Cliente 39;1995.5;0;2014-05-03
0;Cliente Sauna;68723.0;0;2014-06-03
40;Cliente 40;930.0;0;2014-06-03
0;Cliente Sauna;46356.0;0;2014-07-03
21;Cliente 21;964.0;217.0;2014-07-03
22;Cliente 22;724.0;652.0;2014-07-03
23;Cliente 23;0;1198.01;2014-07-03
0;Cliente Sauna;8829.0;0.0;2014-09-03
60;Cliente 60;518.0;213.0;2014-09-03
0;Cliente Sauna;76204.0;0;2014-10-03
21;Cliente 21;1389.0;200.0;2014-10-03
0;Cliente Sauna;71140.0;0;2014-11-03
6;Cliente 6;2368.5;0;2014-11-03
17;Cliente 17;4.0;1551.3400000000001;2014-11-03
65;Cliente 65;675.0;0;2014-11-03
0;Cliente Sauna;40445.0;0;2014-12-03
